cx,cy,cyaw
-70.883286499153,126.896551815111,-1.4501454704177
-70.8712289932975,126.797273952038,-1.44984661076002
-70.8591775528671,126.697995870195,-1.45026641615596
-70.8472036692666,126.598710092414,-1.45140492464645
-70.8353788339008,126.499409141527,-1.45326221776794
-70.8237745381747,126.400085540367,-1.45583840291847
-70.8124622734931,126.300731811765,-1.45913358457456
-70.8015135312609,126.201340478553,-1.46314782434496
-70.7909998028829,126.101904063563,-1.46788108985754
-70.7809730386597,126.002417109379,-1.47268433840592
-70.7713821549862,125.902884808091,-1.47664009891411
-70.7621422323243,125.803315849044,-1.47974177250382
-70.7531683310731,125.703718923656,-1.48198946054026
-70.7443755116315,125.604102723346,-1.48338329304086
-70.7356788343986,125.504475939531,-1.48392337951275
-70.7269933597734,125.40484726363,-1.48360977848358
-70.7182341481549,125.305225387061,-1.48244248570234
-70.7093162599422,125.205619001243,-1.48042144099666
-70.7001547555344,125.106036797595,-1.47754655378997
-70.6906646953303,125.006487467533,-1.47381774729477
-70.6807611397291,124.906979702477,-1.46923502139719
-70.6703759155966,124.807520718694,-1.46430904013962
-70.6595101857968,124.70811163211,-1.45957337538469
-70.6481830338057,124.608751981957,-1.45502806462448
-70.636413543123,124.509441307463,-1.45067305083491
-70.6242207972484,124.410179147859,-1.44650825169922
-70.6116238796815,124.310965042372,-1.44253356434648
-70.5986418739219,124.211798530233,-1.4387488698767
-70.5852938634694,124.112679150669,-1.4351540376712
-70.5715989318235,124.013606442911,-1.43174892948801
-70.5575761624839,123.914579946187,-1.4285334033426
-70.5432446389503,123.815599199726,-1.42550731717482
-70.5286234448456,123.716663742718,-1.42267064229327
-70.5137348927759,123.617772076698,-1.42011999158209
-70.4986129310522,123.518918963991,-1.41793984171899
-70.4832941280153,123.42009832496,-1.41613027449445
-70.467815052006,123.321304079967,-1.41469134395251
-70.4522122713652,123.222530149374,-1.41362308384083
-70.4365223544336,123.123770453544,-1.4129255135382
-70.4207818695519,123.025018912839,-1.41259864245668
-70.4050273850611,122.926269447621,-1.41264247291676
-70.3892954693018,122.827515978252,-1.41305700149484
-70.3736226906149,122.728752425096,-1.41384221884275
-70.3580456173411,122.629972708513,-1.4149981079793
-70.3426008178214,122.531170748867,-1.41652464105466
-70.3273181363454,122.432341595009,-1.41816067097724
-70.3121749622154,122.333489099239,-1.41933610501603
-70.2971240490629,122.234621248431,-1.42003099489508
-70.2821180080572,122.135746053368,-1.42024536878995
-70.2671094503677,122.036871524832,-1.41997923349115
-70.2520509871636,121.938005673605,-1.41923257291974
-70.2368952296143,121.839156510471,-1.41800534996907
-70.2215947888892,121.740332046211,-1.41629751167361
-70.2061022761574,121.641540291608,-1.41410899770839
-70.1903703025884,121.542789257445,-1.4114397522225
-70.1743514793514,121.444086954505,-1.40828973901044
-70.1579984176158,121.345441393569,-1.40465896002142
-70.1412640237653,121.246860535079,-1.40058322112733
-70.1241364436842,121.148346330374,-1.39684121756342
-70.1066720061833,121.04988910411,-1.39375003943479
-70.0889348380487,120.95147785122,-1.39130966685978
-70.0709890660663,120.853101566636,-1.38952003685538
-70.0528988170223,120.754749245292,-1.38838107434412
-70.0347282177025,120.656409882119,-1.3878927148839
-70.016541394893,120.558072472051,-1.38805491912727
-69.9984024753799,120.45972601002,-1.388867679018
-69.980375585949,120.361359490959,-1.39033101572998
-69.9625248533865,120.2629619098,-1.39244496934866
-69.9449144044784,120.164522261475,-1.39520958029087
-69.9276083660106,120.066029540918,-1.3986248624582
-69.9106704415873,119.967472816698,-1.4026414457958
-69.8941184138708,119.868849148014,-1.4062576897117
-69.8778835897776,119.770170641569,-1.40907923957764
-69.8618877087043,119.671451068896,-1.41110617087078
-69.8460525100475,119.572704201527,-1.41233857037002
