%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
0,68,0,,8.88640153528,0.199720607654,-1.31998500823,-0.0194812420989,0.0695029328892,-0.181556141639,0.980727888336
0,69,0,,8.99920321151,0.122919053031,-1.33553243734,-0.0212975985262,0.0690597907762,-0.189931981413,0.979133800883
0,70,0,,9.13969414221,0.0353686120612,-1.36635737872,-0.0219325841919,0.0693075997483,-0.198150256854,0.977472196063
0,71,0,,9.26308648109,-0.0374647124651,-1.37726836624,-0.0218201029208,0.0683151516873,-0.206519974803,0.975810649238
0,72,0,,9.38035464324,-0.122663403381,-1.384312385,-0.0230091741353,0.0678630984871,-0.214235261128,0.974150106841
0,73,0,,9.52108355521,-0.202985713524,-1.41709309499,-0.0232516994975,0.0669921377063,-0.221366787145,0.972608943772
0,74,0,,9.63647346416,-0.273512003475,-1.44041345541,-0.0234210161124,0.067012889978,-0.227911009055,0.971090778729
0,75,0,,9.79903510557,-0.328878561548,-1.46502003257,-0.0250267458668,0.066711321107,-0.229745136792,0.97063918824
0,76,0,,9.92034249743,-0.405411873556,-1.48575671238,-0.0251621355345,0.0670265060986,-0.231372949454,0.970227227342
0,77,0,,10.0564994337,-0.486020509278,-1.51132186336,-0.0255512294256,0.0667439949912,-0.233048807962,0.969835360726
0,78,0,,10.1831249866,-0.547081913087,-1.52282409236,-0.0261146788422,0.0674258023225,-0.234918843988,0.96932188744
0,79,0,,10.3110904563,-0.621397405017,-1.54202465912,-0.02626305041,0.0686607362399,-0.236919466823,0.968744095065
0,80,0,,10.4470660655,-0.708316217108,-1.55094307447,-0.025744164681,0.0684767726746,-0.238220871815,0.968451850027
0,81,0,,10.5869600904,-0.771547676145,-1.57658564983,-0.0262785667973,0.0689351467343,-0.240016397321,0.967961523765
0,82,0,,10.7029344191,-0.832205504765,-1.60780933348,-0.0258211654997,0.0687758734759,-0.241309289758,0.967663667457
0,83,0,,10.8100807557,-0.905822621742,-1.61738777811,-0.0259759635805,0.0691565989008,-0.242523653015,0.967328740332
0,84,0,,10.9242554847,-0.974171197969,-1.63401782507,-0.0257900046797,0.0686440442454,-0.244300834682,0.966922940581
0,85,0,,11.0679031767,-1.03598329172,-1.65425246991,-0.025285780622,0.0678526796832,-0.246111185863,0.966532941679
0,86,0,,11.1673605906,-1.12273730116,-1.66898420512,-0.0257806891111,0.0676647716511,-0.246609414301,0.966406038643
0,87,0,,11.2895093195,-1.18823421767,-1.67783423738,-0.0274798802218,0.0677542163723,-0.244703127894,0.9668374225
0,88,0,,11.4134287389,-1.2537926258,-1.7040254969,-0.0269845763291,0.0674683722202,-0.243656942262,0.967135536457
0,89,0,,11.5280942543,-1.33433222586,-1.72300166975,-0.0278093940405,0.0677812934449,-0.24164140324,0.967595869205
